20160001|0000001|1475489714|1478081761
20160002|0000002|1475489714|1478081761
20160003|0000003|1475489714|1478081761
20160004|0000004|1475489714|1478081761
20160005|0000005|1475489714|1478081761
20160006|0000006|1475576317|1478168277
20160007|0000007|1475576317|1478168277
20160008|0000008|1475576317|1478168277
20160009|0000009|1475576317|1478168277
20160010|0000010|1475576317|1478168277
20160011|0000011|1475576317|1478168277
20160012|0000012|1475576317|1478168277
20160013|0000013|1475662779|1478254825
20160014|0000014|1475662779|1478254825
20160015|0000015|1475662779|1478254825
20160016|0000016|1475662779|1478254825
20160017|0000017|1475662779|1478254825
20160018|0000018|1475662779|1478254825
20160019|0000019|1475662779|1478254825
20160020|0000020|1475662779|1478254825
