20160001|1|1475489714|1478081761
20160002|2|1475489714|1478081761
20160003|3|1475489714|1478081761
20160004|4|1475489714|1478081761
20160005|5|1475489714|1478081761
20160006|6|1475576317|1478168277
20160007|7|1475576317|1478168277
20160008|8|1475576317|1478168277
20160009|9|1475576317|1478168277
20160010|10|1475576317|1478168277
20160011|11|1475576317|1478168277
20160012|12|1475576317|1478168277
20160013|13|1475662779|1478254825
20160014|14|1475662779|1478254825
20160015|15|1475662779|1478254825
20160016|16|1475662779|1478254825
20160017|17|1475662779|1478254825
20160018|18|1475662779|1478254825
20160019|19|1475662779|1478254825
20160020|20|1475662779|1478254825
